ลำดับ,ATC,หมวดหมู่,ชื่อที่สั่ง,ชื่อยาในฐานข้อมูล,ความแรง,หน่วย,จำนวน,แหล่ง,ความมั่นใจ,สถานะ,หมายเหตุ
16,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมมาร์วีลอน28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,100%,✅,SP มี MARVELON 28s บ ขาด — ตรวจสอบสต็อกก่อนสั่ง
17,G03,ฮอร์โมนเพศ,PROGYNOVA2mg3x28เม็ด,ยาคุม PROGYNOVA 2mg 3x28s,2mg,ก.3แผง,1,SP,80%,✅,
18,M01,ยาต้านการอักเสบ / ยาแก้ปวดข้อ,Difelene50mg10เม็ด,Diclofenac sodium 50mg (NEOFENAC),50mg,แผง,1,🌐 verified,88%,✅,NEOFENAC เป็นชื่อแบรนด์ของ diclofenac 50mg มีหลายแบรนด์ในไทย SP มีแค่ 25mg
19,P01,ยารักษาโรคจากโปรตัวซวั,METRONIDAZOLE400mg50x10s,METRONIDAZOLE 400 50x10s,,ก.50แผง,2,SP,95%,✅,
20,R06,ยาแอนติฮส,DORMIRAX25mg10x10s,ิ ตามีน ยาแก ้แพ ้ DORMIRAX 25mg 10x10s,25mg,ก.10แผง,1,SP,92%,✅,
21,S01,ยารักษาโรคตา,น้ำตาเทียมญี่ปุ่น,Rohto Vita 40 ยาหยอดตา 12ml,Vitamin E + B6 + Potassium + Sodium chondroitin sulfate,ก.1ขวด,1,🌐 verified,100%,✅,นำเข้าจากญี่ปุ่น ซื้อออนไลน์หลัก ไม่ตามร้านยาทั่วไป
22,S02,ยารักษาโรคหู,DEWAX EAR DROPS15ml,DEWAX EAR DROPS 15ml,15ml,ก.1ขวด,1,SP,100%,✅,
23,S03,ยารักษาทังโรคตา/หู,Dex Oph Eye Ear Drop4ml,EYEDEX EYE-EAR DROP 5ml,5ml,ก.1หลอด,1,SP,82%,✅,
24,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมพรีม28เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
25,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมพรีม21เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
26,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมแอนนี่ลินน์28เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
27,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมไดแอน 21 เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
28,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมเมอซีลอน28เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
29,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมมินนี28เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
30,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมมินนี21เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
31,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมแอนนา 28 เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
32,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมเจนนี่28เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
33,G03,ฮอร์โมนเพศ,ยาคุมฉุกเฉิน 1 เม็ด,ยาคุมฉุกเฉิน POSTINOR 1x2s,,ก.1แผง,1,SP,75%,⚠️ ต้องยืนยัน,
34,,อื่นๆ,CAPIROX-20 10Capsules,CAPIROX-20mg 1x10s,20mg,ก.1แผง,1,SP,75%,⚠️ ต้องยืนยัน,
35,R06,ยาแอนติฮสตามีน ยาแก ้แพ ้,ORMISTกลิ่นเชอรี่ 60 ml,ORMIST 60ml (รสเชอรี),60ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
36,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ดีคอลเจน100เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
37,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ทิฟฟี่25x4เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
38,,อื่นๆ,คีร่าโลชั่น 60 mi,SCALP LOTION 60ml,60ml,ก.1ขวด,1,SP,67%,⚠️ ต้องยืนยัน,
39,G03,ฮอร์โมนเพศ,Madonna2เม็ดจากคุณฉุกเฉิน,ยาคุมฉุกเฉิน MADONNA ONE 1x1s,,ก.1s,1,SP,75%,⚠️ ต้องยืนยัน,
40,,อื่นๆ,ยาน้ำระดมพล,ผลิตภัณฑ์สมุนไพร ระดมพล 300ml,300ml,ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
41,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,เฮโมวิต100เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
42,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ผอนสแตน500mg250เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
43,G03,ฮอร์โมนเพศ,NORCA NORETHISTEROUE. Tablets BP5mg10x10เม็ด,NORCA 10x10s,,ก.10แผง,1,SP,75%,⚠️ ต้องยืนยัน,
44,D08,ยาแอนติเซพติค ฆ่าเชอโรค,เบตาดีนใส่แผล 15 mi,ื BETADINE 15ml,15ml,ก.1ขวด,2,SP,75%,⚠️ ต้องยืนยัน,
45,M02,ยาทาภายนอก / บรรเทาปวด,เจลว่านหางจระเข้ 60 กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
46,,อื่นๆ,ยาสตรีเพ็ญภาค 300cc,ผลิตภัณฑ์สมุนไพร ยาสตรีเพ็ญภาค 180ml,180ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
47,,อื่นๆ,ยาสตรีเพ็ญภาค 180 cc,ผลิตภัณฑ์สมุนไพร ยาสตรีเพ็ญภาค 180ml,180ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
48,M02,ยาทาภายนอก / บรรเทาปวด,คาเนสเทนโอดีครีม10กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
49,R05,ยาแก ้ไอแก ้หวัด,MYSOVEN. GRANULE200mg60x3กรัมรสส้ม,MYSOVEN 100mg 60ซองx5g,100mg,ก.60ซอง,1,SP,75%,⚠️ ต้องยืนยัน,
50,R05,ยาแก ้ไอแก ้หวัด,MYSOVEN. GRANULE600mg30x7gรสส้ม,MYSOVEN 100mg 60ซองx5g,100mg,ก.60ซอง,1,SP,75%,⚠️ ต้องยืนยัน,
51,R06,ยาแอนติฮส ิ ตามีน ยาแก ้แพ ้,โกเฟน400mgเป็นเจลออกฤทธิ์เร็ว 10 แคปซูล,VENSIX 25x4s (แคปซูล ม่วง-ขาว),,ก.25แผง,1,SP,75%,⚠️ ต้องยืนยัน,
52,R02,ยารักษาโรคคอ/ยาอม/ยาจิบ,ยาอมกำกิกเผื่ยง20x12เม็ด,อม PROPOLIZ X LOZENGE เม็ด 1x15x8s SF นํ าผึงมะนาว (ก.15ซอง),,ก.15ซอง,1,SP,75%,⚠️ ต้องยืนยัน,
53,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมเมอซิลอน28เท็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,74%,⚠️ ต้องยืนยัน,
54,M02,ยาทาภายนอก / บรรเทาปวด,เบโทซาลิก ออยท์เมนท์15กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
55,M02,ยาใชเฉพาะที,NEOTICA10แคปซูล,้ รักษาอาการปวด NEOTICA COOL 30g,30g,ก.1หลอด,1,SP,75%,⚠️ ต้องยืนยัน,
56,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ไดฟีลีน 50 mg 10 เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
57,D07,ยาสเตียรอยด์ใชในโรคผิ ้,แทรมโลชั่น 60 mi,วหนั ง TRAM LOTION 30ml,30ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
58,D06,ยาปฏิชวนะใชในโรคผิวหนัง,ไวเลืมครีม10x1g,MEBO CREAM 10g,10g,ก.1หลอด,1,SP,61%,⚠️ ต้องยืนยัน,
59,M02,ยาทาภายนอก / บรรเทาปวด,สำลีก้อนตรารถพยาบาล 40 กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
60,M02,ยาทาภายนอก / บรรเทาปวด,สำลีก้อนตรารถพยาบาล 20 กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
61,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ยาคุมแอนนี้ลินน์28เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
62,,อื่นๆ,ยาน้ำระดมพล 60 cc,ผลิตภัณฑ์สมุนไพร ระดมพล 300ml,300ml,ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
63,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,Neoxenนีโอเซน250mg500เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
64,R05,ยาแก ้ไอแก ้หวัด,BABY COUGH SYRUP 60ml,DEXTRO COUGH SYRUP 60ml (รสองุ่น),60ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
65,,,ที่ตรวจครรภ์แบบจุ่มแล้วแบบหยด,,,,1,,,❌ ไม่พบ,
66,,,ทิฟฟี่น้ำ 60 m i,,,,1,,,❌ ไม่พบ,
67,,,BETASALIC  Ointmenit15g,,,,1,,,❌ ไม่พบ,
68,,,SIDEGRA50mg4s,,,,1,,,❌ ไม่พบ,
69,,,SIDEGRA100mg4s,,,,1,,,❌ ไม่พบ,
70,,,OP-IZEน้ำยาล้างตา 110 mi,,,,1,,,❌ ไม่พบ,
71,,,ดอมเปอร์โดนชนอดน้ำ30cc,,,,1,,,❌ ไม่พบ,
72,,,ยาธาตุน้ำแดง300cc,,,,1,,,❌ ไม่พบ,
73,,,GLYCOFF50x10เม็ดยาแก้ไอ,,,,1,,,❌ ไม่พบ,
74,,,แนคลอง600mg10เม็ดยาแก้ไอละลายเม็ดฟู่,,,,1,,,❌ ไม่พบ,
75,,,กาวิสคอนชมพู 24 ซอง,,,,1,,,❌ ไม่พบ,
76,,,กาวิสคอนน้ำชมพู 150 cc แบบขวด,,,,1,,,❌ ไม่พบ,
77,,,"ผ้าก๊อตจีนแดง""3",,,,1,,,❌ ไม่พบ,
78,,,"ผ้าก๊อตจีนแดง""2",,,,1,,,❌ ไม่พบ,
79,,,คามิลโลซานเอ็ม15ml,,,,1,,,❌ ไม่พบ,
80,,,โพรโพลิซเมาสเปรย์15ml,,,,1,,,❌ ไม่พบ,
81,,,ยาน้ำแก้ไอมะขามป้อมตราไปยะลา 60 cc,,,,1,,,❌ ไม่พบ,
82,,,ยาน้ำแก้ไอมะแว้งตราไปยะลา 60 cc,,,,1,,,❌ ไม่พบ,
83,,,น้ำมันเขียวผสมพาเลทคอมพองตราแม่มะลิ24 cc,,,,1,,,❌ ไม่พบ,
84,,,ยาแก้ไอไบโซลวอน 60 ml,,,,1,,,❌ ไม่พบ,
85,,,ยาแก้ไอไบโซลวอนของผู้ใหญ่ 60 mi,,,,1,,,❌ ไม่พบ,
86,,,VAPORUB50g,,,,1,,,❌ ไม่พบ,
87,,,VAPORUB25g,,,,1,,,❌ ไม่พบ,
88,,,VAPORUB5g,,,,1,,,❌ ไม่พบ,
89,,,VAPORUB10g,,,,1,,,❌ ไม่พบ,
90,,,คารามายวี60 m i,,,,1,,,❌ ไม่พบ,
91,,,แผ่นรองกันเปื้อนกันซึม,,,,1,,,❌ ไม่พบ,
