ลำดับ,ATC,หมวดหมู่,ชื่อที่สั่ง,ชื่อยาในฐานข้อมูล,ความแรง,หน่วย,จำนวน,แหล่ง,ความมั่นใจ,สถานะ,หมายเหตุ
35,,อื่นๆ,ยาสตรีเพ็ญภาค 180 cc,ผลิตภัณฑ์สมุนไพร ยาสตรีเพ็ญภาค 180ml,180ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
36,G03,ฮอร์โมนเพศ,PROGYNOVA2mg3x28เม็ด,ยาคุม PROGYNOVA 2mg 3x28s,2mg,ก.3แผง,1,SP,71%,⚠️ ต้องยืนยัน,
37,R05,ยาแก ้ไอแก ้หวัด,MYSOVEN. GRANULE200mg60x3กรัมรสส้ม,MYSOVEN 100mg 60ซองx5g,100mg,ก.60ซอง,1,SP,75%,⚠️ ต้องยืนยัน,
38,R05,ยาแก ้ไอแก ้หวัด,MYSOVEN. GRANULE600mg30x7gรสส้ม,MYSOVEN 100mg 60ซองx5g,100mg,ก.60ซอง,1,SP,75%,⚠️ ต้องยืนยัน,
39,R06,ยาแอนติฮส ิ ตามีน ยาแก ้แพ ้,โกเฟน400mgเป็นเจลออกฤทธิ์เร็ว 10 แคปซูล,VENSIX 25x4s (แคปซูล ม่วง-ขาว),,ก.25แผง,1,SP,75%,⚠️ ต้องยืนยัน,
40,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมเมอซิลอน28เท็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,70%,⚠️ ต้องยืนยัน,
41,M02,ยาทาภายนอก / บรรเทาปวด,NEOTICA10แคปซูล,NEOTICA BALM 30g,Methyl salicylate + Menthol + Camphor + Eucalyptus oil + Eugenol,ก.1กระปุก,1,🌐 verified,62%,⚠️ ต้องยืนยัน,
42,A07,ยาแก ้ท ้องร่วง / ยาต ้านการอักเสบในลํ,ไดฟีลีน 50 mg 10 เม็ด,าไส ้ 250mg เม็ด 2x5s,250mg,,1,SP,75%,⚠️ ต้องยืนยัน,
43,D07,ยาสเตียรอยด์ใชในโรคผิ ้,แทรมโลชั่น 60 mi,วหนั ง TRAM LOTION 30ml,30ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
44,A06,ยาแก ้ท ้องผูก,DORMIRAX25mg10x10s,DULCOLAX 5mg 10x10s,5mg,ก.10แผง,1,SP,70%,⚠️ ต้องยืนยัน,
45,C02,ยาลดความดันโลหิตสูง,SAMBEE100x10s,AMBES-10 10x10s,,ก.10แผง,1,SP,79%,⚠️ ต้องยืนยัน,
46,M02,ยาทาภายนอก / บรรเทาปวด,สำลีก้อนตรารถพยาบาล 40 กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
47,M02,ยาทาภายนอก / บรรเทาปวด,สำลีก้อนตรารถพยาบาล 20 กรัม,FLANIL CREAM 30g,Methyl Salicylate 10.20% + Menthol 5.44% + Eugenol 1.36%,ก.1หลอด,1,🌐 verified,75%,⚠️ ต้องยืนยัน,
48,G03,ฮอร์โมนเพศ / ยาคุมกำเนิด,ยาคุมแอนนี้ลินน์28เม็ด,ยาคุม MARVELON 28s,Desogestrel 0.15mg + Ethinylestradiol 0.02mg,ก.1แผง,1,🌐 verified,64%,⚠️ ต้องยืนยัน,
49,D07,ยาสเตียรอยด์ใชในโรคผิวหนั ง,TACINOL 0.1 15g,TACINOL LOTION 0.1% 60ml,60ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
50,R05,ยาแก ้ไอแก ้หวัด,BABY COUGH SYRUP 60ml,DEXTRO COUGH SYRUP 60ml (รสองุ่น),60ml,ก.1ขวด,1,SP,75%,⚠️ ต้องยืนยัน,
51,,,ที่ตรวจครรภ์แบบจุ่มแล้วแบบหยด,,,,1,,,❌ ไม่พบ,
52,,,ORMISTกลิ่นเชอรี่ 60 ml,,,,1,,,❌ ไม่พบ,
53,,,ทิฟฟี่น้ำ 60 m i,,,,1,,,❌ ไม่พบ,
54,,,ดีคอลเจน100เม็ด,,,,1,,,❌ ไม่พบ,
55,,,ทิฟฟี่25x4เม็ด,,,,1,,,❌ ไม่พบ,
56,,,คีร่าโลชั่น 60 mi,,,,1,,,❌ ไม่พบ,
57,,,OP-IZEน้ำยาล้างตา 110 mi,,,,1,,,❌ ไม่พบ,
58,,,Madonna2เม็ดจากคุณฉุกเฉิน,,,,1,,,❌ ไม่พบ,
59,,,ดอมเปอร์โดนชนอดน้ำ30cc,,,,1,,,❌ ไม่พบ,
60,,,ยาธาตุน้ำแดง300cc,,,,1,,,❌ ไม่พบ,
61,,,ยาน้ำระดมพล,,,,1,,,❌ ไม่พบ,
62,,,GLYCOFF50x10เม็ดยาแก้ไอ,,,,1,,,❌ ไม่พบ,
63,,,แนคลอง600mg10เม็ดยาแก้ไอละลายเม็ดฟู่,,,,1,,,❌ ไม่พบ,
64,,,เฮโมวิต100เม็ด,,,,1,,,❌ ไม่พบ,
65,,,ผอนสแตน500mg250เม็ด,,,,1,,,❌ ไม่พบ,
66,,,กาวิสคอนชมพู 24 ซอง,,,,1,,,❌ ไม่พบ,
67,,,กาวิสคอนน้ำชมพู 150 cc แบบขวด,,,,1,,,❌ ไม่พบ,
68,,,"ผ้าก๊อตจีนแดง""3",,,,1,,,❌ ไม่พบ,
69,,,"ผ้าก๊อตจีนแดง""2",,,,1,,,❌ ไม่พบ,
70,,,เบตาดีนใส่แผล 15 mi,,,,2,,,❌ ไม่พบ,
71,,,คามิลโลซานเอ็ม15ml,,,,1,,,❌ ไม่พบ,
72,,,โพรโพลิซเมาสเปรย์15ml,,,,1,,,❌ ไม่พบ,
73,,,ยาน้ำแก้ไอมะขามป้อมตราไปยะลา 60 cc,,,,1,,,❌ ไม่พบ,
74,,,ยาน้ำแก้ไอมะแว้งตราไปยะลา 60 cc,,,,1,,,❌ ไม่พบ,
75,,,น้ำมันเขียวผสมพาเลทคอมพองตราแม่มะลิ24 cc,,,,1,,,❌ ไม่พบ,
76,,,TONAF1%แดง15g,,,,1,,,❌ ไม่พบ,
77,,,TONAF2%เขียว15g,,,,1,,,❌ ไม่พบ,
78,,,คาเนสเทนโอดีครีม10กรัม,,,,1,,,❌ ไม่พบ,
79,,,ยาอมกำกิกเผื่ยง20x12เม็ด,,,,1,,,❌ ไม่พบ,
80,,,เบโทซาลิก ออยท์เมนท์15กรัม,,,,1,,,❌ ไม่พบ,
81,,,ยาแก้ไอไบโซลวอน 60 ml,,,,1,,,❌ ไม่พบ,
82,,,ยาแก้ไอไบโซลวอนของผู้ใหญ่ 60 mi,,,,1,,,❌ ไม่พบ,
83,,,VAPORUB50g,,,,1,,,❌ ไม่พบ,
84,,,VAPORUB25g,,,,1,,,❌ ไม่พบ,
85,,,VAPORUB5g,,,,1,,,❌ ไม่พบ,
86,,,VAPORUB10g,,,,1,,,❌ ไม่พบ,
87,,,คารามายวี60 m i,,,,1,,,❌ ไม่พบ,
88,,,ไวเลืมครีม10x1g,,,,1,,,❌ ไม่พบ,
89,,,แผ่นรองกันเปื้อนกันซึม,,,,1,,,❌ ไม่พบ,
90,,,ยาน้ำระดมพล 60 cc,,,,1,,,❌ ไม่พบ,
91,,,Neoxenนีโอเซน250mg500เม็ด,,,,1,,,❌ ไม่พบ,
